,Unnamed: 0,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
810,811,NCT03942406,,2019-05-02,,,2020-07-08,2019-05-06,2019-05-08,Actual,,,,,,,2020-07-08,2020-07-09,Actual,"June 15, 2019",Actual,2019-06-15,July 2020,2020-07-31,"June 24, 2020",Actual,2020-06-24,"February 14, 2020",Actual,2020-02-14,,Interventional,,,"Study of BPZE1 Intranasal Pertussis Vaccine (Administered Via VaxINator(TM)), Prime + Boost, in Healthy Adults","Phase 2b Study of BPZE1 Intranasal Pertussis Vaccine in Adults to Assess Immunological Response and Safety Profile of 1-Dose (Prime) and 2-Doses (Prime+Boost) Schedule, Compared to a Boostrix Prime Dose With or Without a BPZE1 Boost Dose",Completed,,Phase 2,300.0,Actual,ILiAD Biotechnologies,,4.0,,,False,,,,True,True,True,True,,,,,,,,No,,2023-06-16 20:54:55,2023-06-16 20:54:55,INDUSTRY,,,,,
1243,1244,NCT01127464,,2010-05-19,,,2014-05-07,2010-05-19,2010-05-20,Estimate,,,,,,,2014-05-07,2014-05-08,Estimate,May 2010,,2010-05-31,May 2014,2014-05-31,November 2012,Actual,2012-11-30,November 2012,Actual,2012-11-30,,Interventional,,,DCVax Plus Poly ICLC in Healthy Volunteers,"A Randomized, Placebo-controlled, Dose-escalating, Double-blinded Phase I Study to Evaluate the Safety and Immunogenicity of Anti-DEC-205 Monoclonal Antibody (Mab) Targeted HIV Gag p24 Vaccine (DCVax-001) With Poly ICLC (Hiltonol) as Adjuvant in HIV-uninfected Healthy Volunteers",Completed,,Phase 1,43.0,Actual,Rockefeller University,,5.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 20:59:03,2023-06-16 20:59:03,OTHER,,,,,
1254,1255,NCT01123954,,2010-03-24,,,2011-12-13,2010-05-13,2010-05-14,Estimate,,,,,,,2011-12-13,2011-12-14,Estimate,January 2010,,2010-01-31,December 2011,2011-12-31,April 2010,Actual,2010-04-30,March 2010,Actual,2010-03-31,,Interventional,,,Evaluating the Safeness of Trivalent Subunit Inactivated Influenza Vaccines in Preventing Flu on Vietnamese Volunteers,Evaluating the Safeness of Trivalent Subunit Inactivated Influenza Vaccines in Preventing Flu on Vietnamese Volunteers,Completed,,Phase 2,33.0,Actual,Novartis,,1.0,,,False,,,,,,,,,,,,,,,,,2023-06-16 20:59:14,2023-06-16 20:59:14,INDUSTRY,,,,,
1305,1306,NCT04341389,,2020-04-07,,,2023-05-22,2020-04-09,2020-04-10,Actual,,,,,,,2023-05-22,2023-05-24,Actual,"April 12, 2020",Actual,2020-04-12,May 2023,2023-05-31,"December 31, 2020",Actual,2020-12-31,"November 30, 2020",Actual,2020-11-30,,Interventional,CTII-nCoV,,A Phase II Clinical Trial to Evaluate the Recombinant Vaccine for COVID-19 (Adenovirus Vector),"A Randomized, Double-blind, Placebo-controlled Phase II Clinical Trial to Evaluate the Safety and Immunogenicity of the Recombinant Novel Coronavirus Vaccine (Adenovirus Vector) in Healthy Adults Aged Above 18 Years",Completed,,Phase 2,508.0,Actual,"Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",,3.0,,,False,,,,True,False,False,,,,,,,,,No,,2023-06-19 03:59:47,2023-06-19 03:59:47,OTHER,,,,,
1312,1313,NCT04087252,,2019-09-03,,,2020-04-13,2019-09-11,2019-09-12,Actual,,,,,,,2020-04-13,2020-04-15,Actual,"September 4, 2019",Actual,2019-09-04,August 2019,2019-08-31,"December 30, 2021",Anticipated,2021-12-30,"October 30, 2021",Anticipated,2021-10-30,,Interventional,,,An Immunogenic Personal Neoantigen Vaccine for Cancer Treatment,PhaseI Trial of Tumor Neoantigen Vaccine,Unknown status,Recruiting,Phase 1,30.0,Anticipated,Henan Cancer Hospital,,1.0,,,False,,,,True,False,False,,,,,,,,,,,2023-06-16 01:44:41,2023-06-16 01:44:41,OTHER_GOV,,,,,
1424,1425,NCT01226758,,2010-10-21,,,2012-11-01,2010-10-21,2010-10-22,Estimate,,,,,,,2012-11-01,2012-11-02,Estimate,June 2010,,2010-06-30,November 2012,2012-11-30,December 2010,Actual,2010-12-31,December 2010,Actual,2010-12-31,,Interventional,,,Influenza Vaccine Challenge Study in Healthy Subjects,"A Randomised Double-blind, Placebo-controlled, Phase 1b Trial to Evaluate the Safety, Tolerability and Protective Efficacy of the Influenza Vaccine Candidate, FLU-v, in an Influenza Challenge Model",Completed,,Phase 1,32.0,Actual,PepTcell Limited,,2.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 21:00:50,2023-06-16 21:00:50,INDUSTRY,,,,,
1559,1560,NCT03926416,,2019-04-18,,,2020-07-21,2019-04-23,2019-04-24,Actual,,,,,,,2020-07-21,2020-07-23,Actual,"February 21, 2017",Actual,2017-02-21,April 2019,2019-04-30,"September 14, 2018",Actual,2018-09-14,"May 29, 2018",Actual,2018-05-29,,Interventional,,,"Safety Study of Live Attenuated Influenza Vaccine, CodaVax","A Randomised, Double-Blind, Double-Dummy, Active and Placebo Controlled Phase I Trial of the Safety, Tolerability and Immunogenicity of the CodaVax Influenza Vaccine",Completed,,Phase 1,125.0,Actual,"Codagenix, Inc",,4.0,,,False,,,,,True,False,,,True,,,,,,No,,2023-06-16 21:02:11,2023-06-16 21:02:11,INDUSTRY,,,,,
1861,1862,NCT01234012,,2010-10-26,,,2015-03-09,2010-11-03,2010-11-04,Estimate,,,,,,,2015-03-09,2015-03-10,Estimate,May 2011,,2011-05-31,March 2015,2015-03-31,March 2014,Actual,2014-03-31,November 2013,Actual,2013-11-30,,Interventional,,,Study of IMF-001 in Patients With Malignancies Expressing NY-ESO-1,A Phase I Study of Therapeutic Cancer Vaccine IMF-001 in Patients With Malignancies Expressing NY-ESO-1,Completed,,Phase 1,23.0,Actual,"ImmunoFrontier, Inc.",,1.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 21:05:15,2023-06-16 21:05:15,INDUSTRY,,,,,
2106,2107,NCT01142362,,2010-05-27,,,2017-09-11,2010-06-10,2010-06-11,Estimate,,,,,,,2017-09-11,2017-09-13,Actual,June 2010,,2010-06-30,September 2017,2017-09-30,November 2011,Actual,2011-11-30,November 2011,Actual,2011-11-30,,Interventional,,,"Study of VGX-3400X, H5N1 Avian Influenza Virus DNA Plasmid + Electroporation in Healthy Adults","Phase I, Open-label, Dose Escalation Study to Evaluate the Safety, Tolerability, and Immunogenicity in Healthy Adults of a DNA Plasmid Vaccine for H5 Avian Influenza (VGX-3400X) Administered by Intramuscular (IM) Injection Followed by Electroporation (EP)",Completed,,Phase 1,32.0,Actual,Inovio Pharmaceuticals,,3.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 21:08:18,2023-06-16 21:08:18,INDUSTRY,,,,,
2145,2146,NCT01236040,,2010-10-28,,,2017-05-09,2010-11-04,2010-11-07,Estimate,,,,,,,2017-05-09,2017-05-10,Actual,"November 29, 2010",Actual,2010-11-29,May 2017,2017-05-31,"August 20, 2012",Actual,2012-08-20,"September 6, 2011",Actual,2011-09-06,,Interventional,,,Immunogenicity and Safety of Pandemic Influenza Vaccines in Adults Aged 18 - 49 Years Old,Immunogenicity and Safety Study of GSK Biologicals' Cell Culture Derived Pandemic Influenza Vaccines GSK2590066A and GSK2592984A Administered to Healthy Adults 18 - 49 Years Old,Completed,,Phase 1,521.0,Actual,GlaxoSmithKline,,6.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 21:09:01,2023-06-16 21:09:01,INDUSTRY,,,,,
2258,2259,NCT00197028,,2005-09-13,2012-12-13,2009-05-29,2018-07-19,2005-09-13,2005-09-20,Estimate,2012-12-13,2013-01-18,Estimate,2009-10-01,2009-10-02,Estimate,2018-07-19,2018-08-20,Actual,"August 23, 2005",,2005-08-23,April 2017,2017-04-30,"December 27, 2007",Actual,2007-12-27,"December 27, 2007",Actual,2007-12-27,,Interventional,,,Examine Safety and Immune Responses of GSK 257049 Vaccine When Administered to Infants Living in a Malaria-endemic Region,"A Phase I/IIb Randomized, Double-blind, Controlled Study of the Safety, Immunogenicity and Proof-of-concept of RTS,S/AS02D, a Candidate Malaria Vaccine in Infants Living in a Malaria-endemic Region",Completed,,Phase 2,214.0,Actual,GlaxoSmithKline,,2.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 21:10:13,2023-06-16 21:10:13,INDUSTRY,,,,,
3032,3033,NCT01265914,,2010-12-22,,,2012-03-23,2010-12-22,2010-12-23,Estimate,,,,,,,2012-03-23,2012-03-26,Estimate,August 2010,,2010-08-31,March 2012,2012-03-31,August 2011,Actual,2011-08-31,March 2011,Actual,2011-03-31,,Interventional,,,"A Study to Evaluate the Safety, Tolerability and Immunogenicity of a Universal Influenza A Vaccine","A Randomised, Double-Blind, Placebo-Controlled, Ascending Dose Study to Assess the Safety, Tolerability and Immunogenicity of Repeated Intramuscular Administration of an Influenza A Vaccine (FP-01.1)",Completed,,Phase 1,49.0,Actual,Immune Targeting Systems Ltd,,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 21:16:17,2023-06-16 21:16:17,INDUSTRY,,,,,
3095,3096,NCT01266616,,2010-12-23,,,2021-10-28,2010-12-23,2010-12-24,Estimate,,,,,,,2021-10-28,2021-11-01,Actual,March 2011,,2011-03-31,October 2021,2021-10-31,April 2013,Actual,2013-04-30,October 2012,Actual,2012-10-31,,Interventional,,,Safety of and Immune Response to an Investigational HIV-1 Vaccine With or Without Interleukin-12 (IL-12) in HIV-1 Infected Adults,"A Phase I Randomized, Partially Double-Blind, Placebo-Controlled, Dose-Escalation Study to Evaluate the Safety and Immunogenicity of a Cytokine Enhanced HIV-1 Multi-Antigen (HIV MAG) pDNA Vaccine Delivered Intramuscularly Followed by in Vivo Electroporation (IM/EP) or Intramuscularly in HIV-1 Infected Adults Receiving ART",Completed,,Phase 1,62.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,10.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 21:16:48,2023-06-16 21:16:48,NIH,,,,,
3586,3587,NCT01941056,,2013-09-05,,,2017-07-31,2013-09-09,2013-09-13,Estimate,,,,,,,2017-07-31,2017-08-02,Actual,"January 5, 2014",Actual,2014-01-05,July 2017,2017-07-31,"July 28, 2017",Actual,2017-07-28,"July 28, 2017",Actual,2017-07-28,,Interventional,,,Vaccine Therapy in Healthy Volunteers With or Without Previous Exposure to Cytomegalovirus,Phase I Evaluation of a CMV-MVA Triplex Vaccine: Safety and Biologically Effective Dose in Healthy Volunteers With or Without Prior Immunity to CMV and Vaccinia,Completed,,Phase 1,24.0,Actual,City of Hope Medical Center,,1.0,,,False,,,,True,,,,,,,,,,,,,2023-06-15 00:46:36,2023-06-15 00:46:36,OTHER,,,,,
3595,3596,NCT01164514,,2010-07-15,,,2014-01-30,2010-07-15,2010-07-16,Estimate,,,,,,,2014-01-30,2014-01-31,Estimate,November 2011,,2011-11-30,August 2012,2012-08-31,February 2013,Actual,2013-02-28,February 2013,Actual,2013-02-28,,Interventional,,,Detoxified J5 Core Glycolipid/ Group B Meningococcal Outer Membrane Protein Vaccine for Gram-negative Bacterial Sepsis Administered With and Without Synthetic CPG Oligodeoxynucleotide 7909 Adjuvant,"A Randomized, Partial-Blinded, Placebo-Controlled, Phase I Safety and Immunogenicity Study in Healthy Subjects of Detoxified J5 Core Glycolipid/ Group B Meningococcal Outer Membrane Protein Vaccine for Gram Negative Bacterial Sepsis Administered With and Without Synthetic CPG Oligodeoxynucleotide 7909 Adjuvant",Terminated,,Phase 1,20.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,4.0,,,False,,,,,,,,,,,,,,,,,2023-06-16 21:21:35,2023-06-16 21:21:35,NIH,,,,,
3649,3650,NCT01175122,,2010-08-03,,,2013-02-08,2010-08-03,2010-08-04,Estimate,,,,,,,2013-02-08,2013-02-11,Estimate,September 2010,,2010-09-30,February 2013,2013-02-28,April 2011,Actual,2011-04-30,April 2011,Actual,2011-04-30,,Interventional,,,Evaluation of the Safety and Immunogenicity of a Live Attenuated Virus Vaccine for the Prevention of H2N3 Influenza,"Phase 1 Evaluation of the Safety and Immunogenicity of Live Influenza A Vaccine H2N3 (6-2) AA ca Recombinant (A/Swine/Missouri/4296424/2006 (H2N3) x A/Ann Arbor/6/60 ca), a Live Attenuated Virus Vaccine Candidate for Prevention of Influenza H2N3 Infection in the Event of a Pandemic",Completed,,Phase 1,20.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,1.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 21:22:08,2023-06-16 21:22:08,NIH,,,,,
4263,4264,NCT04793620,,2021-03-04,,,2022-10-28,2021-03-10,2021-03-11,Actual,,,,,,,2022-10-28,2022-11-01,Actual,"April 6, 2021",Actual,2021-04-06,October 2022,2022-10-31,"February 14, 2022",Actual,2022-02-14,"August 23, 2021",Actual,2021-08-23,,Interventional,,,Pertussis Acellular Vaccine Adjuvanted With TQL1055,"A Phase 1, Randomized, Double Blind, Active-Controlled Dose-Escalation Study to Assess the Safety and Immunogenicity of Pertussis Acellular Vaccine Adjuvanted With TQL1055 (PAVA)",Terminated,,Phase 1,72.0,Actual,"Adjuvance Technologies, Inc.",,2.0,,financial constraints,False,,,,False,False,False,,,,,,,,,No,,2023-06-16 21:28:42,2023-06-16 21:28:42,INDUSTRY,,,,,
4405,4406,NCT01941758,,2013-09-10,,,2018-07-02,2013-09-12,2013-09-13,Estimate,,,,,,,2018-07-02,2018-07-05,Actual,November 2013,,2013-11-30,July 2018,2018-07-31,November 2014,Actual,2014-11-30,November 2014,Actual,2014-11-30,,Interventional,,,High-Dose Trivalent Influenza Vaccine in Inducing Immune Response Patients With Central Nervous System Tumors,A Pilot Single Arm Study of High-Dose Influenza Vaccine Immunogenicity in Patients With Central Nervous System Tumors,Completed,,Phase 1,28.0,Actual,Wake Forest University Health Sciences,,1.0,,,False,,,,False,True,False,,,,,,,,,,,2023-06-15 00:47:03,2023-06-15 00:47:03,OTHER,,,,,
4574,4575,NCT03813940,,2019-01-09,,,2021-04-07,2019-01-22,2019-01-23,Actual,,,,,,,2021-04-07,2021-04-08,Actual,"January 3, 2019",Actual,2019-01-03,April 2021,2021-04-30,"April 1, 2021",Actual,2021-04-01,"August 18, 2019",Actual,2019-08-18,,Interventional,,,"Safety Study of Recombinant Human Papillomavirus Vaccine(6,11,16,18,31,33,45,52,58 Type)(E.Coli)","An Open-Label, Single-Center Phase I Clinical Trial to Estimate Safety of the Recombinant Human Papillomavirus Vaccine (6,11,16,18,31,33,45,52,58 Type) (E.Coli) in Healthy Adults Aged 18 to 45 Years",Completed,,Phase 1,24.0,Actual,Xiamen University,,2.0,,,False,,,,False,False,False,,,,,,,,,,,2023-06-16 21:31:59,2023-06-16 21:31:59,OTHER,,,,,
4583,4584,NCT05264974,,2022-02-22,,,2023-01-17,2022-02-22,2022-03-03,Actual,,,,,,,2023-01-17,2023-01-18,Actual,June 2023,Anticipated,2023-06-30,January 2023,2023-01-31,July 2027,Anticipated,2027-07-31,July 2025,Anticipated,2025-07-31,,Interventional,,,Novel RNA-nanoparticle Vaccine for the Treatment of Early Melanoma Recurrence Following Adjuvant Anti-PD-1 Antibody Therapy,Novel RNA-nanoparticle Vaccine for the Treatment of Early Melanoma Recurrence Following Adjuvant Anti-PD-1 Antibody Therapy,Not yet recruiting,,Phase 1,18.0,Anticipated,University of Florida,,1.0,,,False,,,,True,True,False,,,,,,,,,,,2023-06-16 21:32:14,2023-06-16 21:32:14,OTHER,,,,,
4640,4641,NCT01302496,,2011-02-23,,,2021-03-24,2011-02-23,2011-02-24,Estimate,,,,,,,2021-03-24,2021-03-29,Actual,February 2011,Actual,2011-02-28,March 2021,2021-03-31,January 2017,Actual,2017-01-31,October 2013,Actual,2013-10-31,,Interventional,TriMix-Ipi,,Autologous TriMix-DC Therapeutic Vaccine in Combination With Ipilimumab in Patients With Previously Treated Unresectable Stage III or IV Melanoma,A Two-stage Phase II Study of Autologous TriMix-DC Therapeutic Vaccine in Combination With Ipilimumab in Patients With Previously Treated Unresectable Stage III or IV Melanoma,Completed,,Phase 2,39.0,Actual,Universitair Ziekenhuis Brussel,,1.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 21:32:55,2023-06-16 21:32:55,OTHER,,,,,
